Temperature,Humidity,Hour,CO2,Occupancy
21.39,25.7,22,486,0
20.79,19.6,19,547,0
19.26,31.2,9,430.6666667,0
19.245,31.15,7,431,0
20.29,32.9,3,452,0
20.39,18.65,5,433,0
19.445,30.55,2,433,0
19.39,26.79,0,463,0
20.1,23.34,18,436.5,0
22.66666667,26.56666667,12,1053,0
19.245,31.65,5,430,0
20.2,29.945,9,736,1
19.5,27,0,461,0
21.5,34.045,14,1226,1
20.5,21.2,22,452,0
19.2,31.6,5,435,0
20.29,33.09,8,453,0
20.34,18.7,5,431.5,0
19.7,19.39,6,447,0
21.29,19.7,13,660,1
19.7,27.945,22,438,0
20.29,18.6,6,432.5,0
21.29,25.2,0,448.5,0
21.2,25.29,23,468,0
19.5,26.89,0,455.3333333,0
21.79,20.5,11,827.6666667,1
19.1,31,11,434.3333333,0
21.6,20,12,751.75,0
19.23,31.56666667,6,432,0
19.39,30.79,2,433.6666667,0
21.2,21.2,19,585,0
19.79,19.29,4,443,0
19.5,26.5,7,473,0
23.1,17.29,12,446.5,0
21.29,21.236,10,843.5,1
19.39,27.2,17,423.75,0
19.365,30.6,10,431.75,0
21.29,33.23,11,1427.333333,1
19.945,18.7,1,437,0
20.39,18.79,3,433.5,0
21.05,24.945,2,443,0
22.76,26.39,12,1022,0
22.92666667,17.53333333,12,452,0
22.15,26.6,11,1073.25,1
20.2,23.35666667,18,440,0
19.7,19.29,7,449,0
21.2,20,19,545,0
21.29,22.6,18,666.5,0
22,26.29,10,1024.75,1
22.2,20.445,14,804.5,1
19.39,26.29,6,466,0
20.2,18.6,7,436,0
19.5,27.34,23,447.5,0
22.2,27.1,12,1118,1
21.35666667,21.2,10,844.3333333,1
20.7,34.29666667,9,548,1
21.29,25.7,22,474,0
21.1,25,2,446,0
20.29,33.09,7,456.6666667,0
19.245,30.55,11,429.5,0
19.7,26.79,16,423.5,0
19.34,26.79,3,472,0
19.2,31.7,6,433,0
20,18.7,0,435,0
19.42666667,27.46,21,449.6666667,0
19.79,19.2,3,438,0
19.245,31.1,8,437,0
22.1,27.15,19,578,0
22.1,38.2675,17,1894.333333,1
19.1,31.39,7,439,0
20.7,20.5,16,433.75,0
20.89,23.1,6,448.5,0
19.79,28.1,22,431.5,0
20.6,26.125,14,426,0
19.7,29,23,441,0
22.2,27,11,1120.666667,1
21.5,19.445,13,659,1
20.5,19,3,434.5,0
21.56666667,34.43,12,1366.5,1
19.89,19,2,434,0
19.5,27.6,22,452,0
20.29,21.29,23,445,0
19.29,26.2,6,465,0
19.92666667,18.79,23,439.6666667,0
19.2225,30.525,11,427,0
21.29,25.2,0,453.5,0
19.55,29.89,0,442,0
21.73,35.4,14,1440,1
20.7,35.7,19,1136,0
19.39,31.2,3,434,0
21.2,25.55,23,466.5,0
21.1,24.89,2,435.5,0
19.5,27.39,23,450.3333333,0
22,19.87,14,738,1
21.2,25.29,0,451.5,0
20.1,33,4,445,0
19.39,26.39,6,461,0
21.125,18.7,10,461.5,0
21.39,25.7,22,485.5,0
19.7,19.5,8,454.75,0
22.4175,17.7,11,459.5,0
19.39,30.6,9,431,0
20.7,22.7,7,455.6666667,0
19.6,26.84,16,416.5,0
21,24.89,2,443,0
19.5,26.79,8,469.5,0
20.5,34.9,20,916,0
20.2,18.89,7,459.75,1
19.89,26.84,21,445,0
20.89,24.175,4,447.25,0
20.92666667,23.5,5,448,0
20.29,32.95,3,454,0
20.96333333,19.79,9,639.3333333,1
20.5,21,17,436,0
19.73,19.32333333,5,441.75,0
19.39,26.84,0,463.5,0
19.79,19.39,4,439,0
20.2,18.6,7,435,0
19.05,31.05,11,431,0
20.15,18.89,21,444,0
19.42666667,26.63333333,2,475.6666667,0
20.29,33.09,7,447.6666667,0
19.7,29,23,438.5,0
20.7,35.7,19,1131,0
20.23,18.73,6,427.5,0
20.15,23.7,19,441.5,0
20.2,18.5,7,436,0
21.5,23.23,18,705.6666667,0
20.55,19.29,2,433.5,0
20.39,18.6,4,432,0
20.2225,19.05,7,463.5,1
21.2,25.1,1,444,0
19.39,27.5,20,436.5,0
21.1,20.15,18,664.5,0
21.745,20.4425,12,821.5,1
21.525,33.52,12,1445,1
20.29,29.23,12,427.6666667,0
22,37.6725,15,1814.75,1
20.1,24.7,19,443,0
20.2,19,21,447.5,0
19.5,27,0,462,0
21,20.865,9,744.25,1
20.2,33.045,6,451,0
22.2,28.1,14,970.6666667,1
20.84,23.075,6,451,0
19.2,27.6,18,429,0
23.18,27.272,17,721.25,1
20.2,26.16666667,15,420.6666667,0
22.55,27.445,15,1051.5,1
20.5,21.2,22,449,0
19.89,18.79,1,438,0
21.29,23.865,8,650.75,1
20.79,22.84,6,449.5,0
21,24.5,3,442.5,0
19.7,19.39,7,448,0
21.6,23.6,18,754,0
19.39,27.5,20,437,0
19.42666667,27.13333333,17,428,0
22.03333333,18.03333333,10,464.3333333,0
19.39,27.39,20,435,0
20,25.55,20,441,0
19.245,30.55,10,433,0
20.89,23.1,6,450,0
20.89,23.1,6,452.5,0
19.5,27.6,21,450,0
22.575,17.6,11,455.5,0
19.39,27.6,20,434.3333333,0
22.39,26.1,13,923.25,0
20.39,33,23,520.5,0
20.1,33.09,6,445,0
21.5,33.4475,12,1445.75,1
20.39,18.7,4,428,0
20.7225,28.1,13,431.5,0
19.79,19.39,4,441.5,0
20.6,20.7,17,440,0
19.39,27.06666667,1,465.3333333,0
19.46333333,30.56666667,9,428.6666667,0
20.2,18.89,21,439.5,0
21.2,25.29,23,457,0
20.6,33.895,8,525.75,1
19.5,26.5,8,472,0
19.245,31.7,6,431,0
20.29,18.79,6,433,0
19.89,18.89,2,437,0
20.29,29.315,12,429,0
19.39,26.29,6,464,0
21.675,21.175,17,798.75,1
21,24.56666667,3,439.3333333,0
19.445,27.2,1,467,0
22.1,17.945,10,461,0
20,18.73,0,433.6666667,0
22.2,21.7675,15,930,1
21.79,21.79,17,935,1
19.2,31.5,6,435,0
21.39,24.29,8,758.25,1
21.5,33.2675,13,1229.25,0
21.7,20.575,11,796,1
22.06666667,21.06666667,15,876.3333333,1
20.89,35.9,19,1194,0
20.29,18.84,5,433,0
19.79,19,3,443,0
19.29,31.5,5,436.6666667,0
22.03333333,38.65666667,16,1968.333333,1
21.29,33.145,11,1430.25,1
20.26,32.86333333,3,448.3333333,0
20.89,23.32333333,7,527,1
19.39,26.7,3,472,0
19.89,27.1,21,438,0
20.29,32.9,2,460,0
20.89,20.1,21,467,0
19.5,30.6,1,439,0
19.89,19,2,442.5,0
22.2675,25.9175,14,795,0
22.2675,25.4975,17,998.75,1
19.7675,19.5,9,461,0
20.5,19.2,2,427.5,0
22.2,17.7,14,445.5,0
19.5,27.6,21,449.5,0
20.89,24.29,4,442,0
20.15,23.29,18,439,0
22.1,17.865,14,438,0
19.7,19.39,7,445,0
21.2,19.245,20,487,0
20.5,33.79,8,495.5,1
22.9725,17.525,12,451.5,0
22.76,17.6,11,452.3333333,0
20,18.745,0,435,0
19.5,27.7,22,445.5,0
19.7,29.05,23,438,0
19.29,31.5,5,436,0
20,18.84,22,444,0
19.5,26.5,6,464.5,0
20.73,34.46666667,9,563.3333333,1
21.2,36.2,18,1313,0
20.29,19.1,20,458,0
21.29,25.7,22,472,0
19.29,27.7,19,432,0
20.7,19.445,19,520,0
20.6,20.7,22,454.5,0
20.5,33.7,21,692.5,0
19.34,31.2,4,433.5,0
19.39,31.39,4,438,0
19.5,27.6,22,451,0
21.32333333,33.16333333,11,1441,1
22.2,20.55,14,812,1
22.945,16.84,13,444.5,0
20.2,19,21,448.5,0
20.2,32.9,3,451,0
19.76,19.29,5,444.6666667,0
21.39,33.66333333,14,1184.666667,1
19.79,19.1,3,438,0
20.7,22.79,6,455,0
19.39,31.29,4,437,0
21.5,18.79,15,440,0
20.4725,21.625,17,442.5,0
22.1,38.79,16,1997.5,1
21.1,19.29,19,503.5,0
20.2,18.89,21,440.5,0
21.7,20.525,11,804.5,0
22.13333333,26.6,11,1077,1
19.29,30.7675,12,431,0
20.39,18.7,5,430,0
21.1,24.89,2,438.3333333,0
20.2,33.09,6,449,0
20.85666667,20,16,444.3333333,0
21.245,32.925,13,1123.25,1
20.2,32.9,4,448,0
19.79,19.29,4,441,0
19.79,27.84,22,441.5,0
19.39,27.2,17,423,0
21.2,36.2,18,1320.5,0
20.39,18.7,4,429,0
20.2,23.29,18,436,0
20.2,20.89,0,446,0
19.2,31.1,8,439.5,0
19.39,26.89,2,474,0
19.79,27.79,22,438,0
20.675,26.365,14,420.75,0
19.39,27.2,17,425.5,0
19.39,27.2,1,466.5,0
20.29,20.7,0,439,0
21.39,18.815,15,439,0
21.96333333,38.09,15,1866.666667,1
20.29,22.34,18,438.5,0
19.445,27.2,1,458.5,0
21.7,20.39,11,788.3333333,1
22.5,28.365,14,1081,1
19.7,19.39,7,450,0
19.29,31,9,430.3333333,0
19.445,27.55,21,449,0
20.1,26.29,15,423,0
21.5,25.79,21,487,0
20.39,18.92666667,3,427.3333333,0
22.2,24.7,17,937.6666667,1
19.39,31.2,4,433,0
19.13333333,31.39,7,433.3333333,0
20.89,20,21,469.6666667,0
21.39,25.7,22,486,0
19.5,27.1,8,481.5,1
20.6,18.92666667,9,456.3333333,0
20.245,33.045,7,446,0
19.29,31.6,5,435,0
20.39,21.29,23,442.6666667,0
19.34,27.5,18,427.5,0
21.7675,35.5675,14,1464.25,1
19.39,26.65,3,466.5,0
22.945,17.6,12,458.25,0
19.5,27.6,23,452.3333333,0
22.06666667,17.96333333,15,441.6666667,0
22.1,26.64,10,1048.25,1
21.5,26.15,21,501.5,0
21.5,23.26,18,725.5,0
19.39,30.7,2,437,0
20.245,32.845,2,455,0
21.1,24.89,2,435,0
20.1,33,5,444,0
19.1,30.89,11,430.3333333,0
20.13333333,33.06,5,443.5,0
20.56666667,19.2,8,515.3333333,1
20,25.445,20,439.5,0
21.7,20.42666667,11,800,1
20.34,33,7,453,0
20.29,18.6,6,431,0
20.1,26.2675,15,421.5,0
19.39,31.2,3,437,0
20.89,23.39,5,448,0
19.7,19.39,7,448,0
22.2225,28.2225,14,996.75,1
22,21.2725,16,874,1
22.89,17.6,12,451.6666667,0
20,18.89,22,436,0
20.1,33,5,442,0
20.46333333,26.23,14,421.6666667,0
21.2,19.39,20,472.5,0
19.7,19.29,5,447,0
20.215,30.2275,9,774.9166667,1
22.5,26.73333333,16,1064,1
19.79,19.245,3,440,0
22.175,26.9175,11,1096.75,1
